query,subject,identity,align_len,mismatch,gap,qstart,qend,sstart,send,evalue,bitscore
top_siRNA,OZ235205.2,100.0,23,0,0,15,37,23999742,23999764,0.9,46.1
top_siRNA,OZ387649.1,100.0,23,0,0,14,36,1421353,1421375,0.9,46.1
top_siRNA,OZ387649.1,100.0,19,0,0,18,36,1943458,1943476,220.0,38.2
top_siRNA,OZ376163.1,100.0,23,0,0,15,37,23623547,23623569,0.9,46.1
top_siRNA,OZ374977.1,100.0,23,0,0,8,30,62360963,62360985,0.9,46.1
top_siRNA,OZ374977.1,100.0,18,0,0,5,22,12840410,12840393,871.0,36.2
top_siRNA,OZ346677.1,100.0,22,0,0,2,23,20109935,20109914,3.6,44.1
top_siRNA,OZ346677.1,100.0,18,0,0,22,39,20109918,20109935,871.0,36.2
top_siRNA,CP143073.1,100.0,22,0,0,21,42,29758073,29758052,3.6,44.1
top_siRNA,CP143073.1,100.0,19,0,0,1,19,29758054,29758072,220.0,38.2
top_siRNA,OZ277808.1,96.154,26,1,0,1,26,7069619,7069594,3.6,44.1
top_siRNA,OZ277808.1,100.0,18,0,0,24,41,7069603,7069620,871.0,36.2
top_siRNA,OZ071098.2,100.0,22,0,0,15,36,59272641,59272620,3.6,44.1
top_siRNA,OZ071098.2,100.0,18,0,0,16,33,77645488,77645505,871.0,36.2
top_siRNA,OZ224458.1,91.176,34,3,0,1,34,23774409,23774376,3.6,44.1
top_siRNA,OZ224458.1,88.235,34,4,0,7,40,23774376,23774409,871.0,36.2
top_siRNA,OZ212056.1,100.0,22,0,0,11,32,71184138,71184117,3.6,44.1
top_siRNA,OZ173178.1,96.154,26,1,0,2,27,5033573,5033548,3.6,44.1
top_siRNA,OZ125624.1,96.154,26,1,0,10,35,33761339,33761314,3.6,44.1
top_siRNA,OZ125624.1,95.652,23,1,0,13,35,33762778,33762756,220.0,38.2
top_siRNA,OZ125624.1,95.455,22,1,0,14,35,33762054,33762033,871.0,36.2
top_siRNA,OZ125624.1,100.0,18,0,0,11,28,33305759,33305776,871.0,36.2
top_siRNA,OZ060557.1,100.0,22,0,0,21,42,786557,786536,3.6,44.1
top_siRNA,OZ060557.1,100.0,19,0,0,1,19,786538,786556,220.0,38.2
top_siRNA,OZ060557.1,100.0,18,0,0,15,32,37117364,37117381,871.0,36.2
top_siRNA,OZ038320.1,100.0,22,0,0,15,36,22443680,22443659,3.6,44.1
top_siRNA,OZ008342.1,96.154,26,1,0,11,36,17270773,17270748,3.6,44.1
top_siRNA,OZ008342.1,100.0,19,0,0,24,42,2205546,2205564,220.0,38.2
top_siRNA,OY725346.1,100.0,22,0,0,5,26,7330456,7330435,3.6,44.1
top_siRNA,OY282514.1,100.0,22,0,0,15,36,72433571,72433550,3.6,44.1
top_siRNA,OY282514.1,95.652,23,1,0,12,34,61403902,61403924,220.0,38.2
top_siRNA,OY282514.1,100.0,18,0,0,5,22,6781611,6781628,871.0,36.2
top_siRNA,OY282514.1,100.0,18,0,0,20,37,36032149,36032166,871.0,36.2
top_siRNA,OX940982.1,100.0,22,0,0,21,42,23955784,23955763,3.6,44.1
top_siRNA,OX940982.1,100.0,19,0,0,1,19,23955765,23955783,220.0,38.2
top_siRNA,OX621295.1,100.0,22,0,0,6,27,56045746,56045725,3.6,44.1
top_siRNA,OX411881.1,100.0,22,0,0,10,31,52088129,52088108,3.6,44.1
top_siRNA,OW443374.1,100.0,22,0,0,6,27,72075848,72075827,3.6,44.1
top_siRNA,OW443374.1,100.0,18,0,0,25,42,89511200,89511217,871.0,36.2
top_siRNA,OB662466.1,100.0,22,0,0,5,26,1234,1213,3.6,44.1
top_siRNA,OZ464829.1,100.0,22,0,0,18,39,4385387,4385366,3.6,44.1
top_siRNA,OZ464829.1,100.0,18,0,0,2,19,4385366,4385383,871.0,36.2
top_siRNA,OZ418399.1,100.0,22,0,0,17,38,67671337,67671316,3.6,44.1
top_siRNA,OZ413734.1,100.0,22,0,0,1,22,1600708,1600687,3.6,44.1
top_siRNA,OZ413734.1,100.0,19,0,0,22,40,1600690,1600708,220.0,38.2
top_siRNA,OZ319290.1,100.0,22,0,0,5,26,29643828,29643849,3.6,44.1
top_siRNA,OZ313808.1,100.0,22,0,0,14,35,2800230,2800251,3.6,44.1
top_siRNA,OZ306299.1,100.0,22,0,0,7,28,19237916,19237937,3.6,44.1
top_siRNA,OZ306299.1,100.0,22,0,0,7,28,19599381,19599402,3.6,44.1
top_siRNA,OZ306299.1,100.0,22,0,0,7,28,20255786,20255807,3.6,44.1
top_siRNA,OZ306299.1,100.0,22,0,0,7,28,20979410,20979431,3.6,44.1
top_siRNA,OZ306299.1,100.0,22,0,0,7,28,21538280,21538301,3.6,44.1
top_siRNA,OZ306299.1,95.455,22,1,0,7,28,19664393,19664414,871.0,36.2
top_siRNA,OZ306299.1,95.455,22,1,0,7,28,20361534,20361555,871.0,36.2
top_siRNA,OZ306299.1,95.455,22,1,0,7,28,21044413,21044434,871.0,36.2
top_siRNA,OZ306299.1,95.455,22,1,0,7,28,21601639,21601660,871.0,36.2
top_siRNA,OZ306299.1,95.455,22,1,0,7,28,21869959,21869980,871.0,36.2
top_siRNA,OZ286506.1,91.176,34,3,0,4,37,16855529,16855562,3.6,44.1
top_siRNA,OZ281906.1,100.0,22,0,0,8,29,5458213,5458234,3.6,44.1
top_siRNA,OZ281876.1,96.154,26,1,0,13,38,21406752,21406777,3.6,44.1
top_siRNA,OZ281844.1,96.154,26,1,0,13,38,21371921,21371946,3.6,44.1
top_siRNA,OZ223922.1,100.0,22,0,0,12,33,35381545,35381566,3.6,44.1
top_siRNA,OZ223922.1,100.0,18,0,0,19,36,23192883,23192900,871.0,36.2
top_siRNA,OZ223893.1,100.0,22,0,0,12,33,35485802,35485823,3.6,44.1
top_siRNA,OZ223893.1,100.0,18,0,0,19,36,23255832,23255849,871.0,36.2
top_siRNA,OZ223598.1,100.0,22,0,0,12,33,35135838,35135859,3.6,44.1
top_siRNA,OZ223598.1,100.0,18,0,0,19,36,22836658,22836675,871.0,36.2
top_siRNA,OZ223570.1,100.0,22,0,0,12,33,35732032,35732053,3.6,44.1
top_siRNA,OZ223570.1,100.0,18,0,0,19,36,23430315,23430332,871.0,36.2
top_siRNA,OZ223123.1,100.0,22,0,0,12,33,35022135,35022156,3.6,44.1
top_siRNA,OZ223123.1,100.0,18,0,0,19,36,22656061,22656078,871.0,36.2
top_siRNA,OZ222936.1,100.0,22,0,0,12,33,35581295,35581316,3.6,44.1
top_siRNA,OZ222936.1,100.0,18,0,0,19,36,23212577,23212594,871.0,36.2
top_siRNA,OZ222866.1,100.0,22,0,0,12,33,35132700,35132721,3.6,44.1
top_siRNA,OZ222866.1,100.0,18,0,0,19,36,22793594,22793611,871.0,36.2
top_siRNA,OZ222819.1,100.0,22,0,0,12,33,35747427,35747448,3.6,44.1
top_siRNA,OZ222819.1,100.0,18,0,0,19,36,23369591,23369608,871.0,36.2
top_siRNA,XM_070971688.1,96.154,26,1,0,8,33,5777,5802,3.6,44.1
top_siRNA,OZ220774.1,100.0,22,0,0,12,33,34742540,34742561,3.6,44.1
top_siRNA,OZ220774.1,100.0,18,0,0,19,36,22408615,22408632,871.0,36.2
top_siRNA,XM_029305684.1,100.0,22,0,0,11,32,689,710,3.6,44.1
top_siRNA,XM_029305681.1,100.0,22,0,0,11,32,458,479,3.6,44.1
top_siRNA,LS997566.1,96.154,26,1,0,4,29,4989024,4989049,3.6,44.1
top_siRNA,CP149423.1,96.154,26,1,0,4,29,4888341,4888366,3.6,44.1
top_siRNA,CP149423.1,100.0,18,0,0,19,36,40972162,40972145,871.0,36.2
top_siRNA,OZ077819.1,96.154,26,1,0,13,38,26992981,26993006,3.6,44.1
top_siRNA,OZ077819.1,100.0,19,0,0,18,36,20848987,20849005,220.0,38.2
top_siRNA,OZ077780.1,96.154,26,1,0,13,38,27134534,27134559,3.6,44.1
top_siRNA,OZ077780.1,100.0,19,0,0,18,36,20991361,20991379,220.0,38.2
top_siRNA,OZ034804.1,100.0,22,0,0,13,34,4072913,4072934,3.6,44.1
top_siRNA,OZ004773.1,100.0,22,0,0,6,27,18555362,18555383,3.6,44.1
top_siRNA,OZ004773.1,100.0,18,0,0,25,42,998093,998076,871.0,36.2
top_siRNA,OY734055.1,100.0,22,0,0,6,27,18399601,18399622,3.6,44.1
top_siRNA,OY734055.1,100.0,18,0,0,25,42,990576,990559,871.0,36.2
top_siRNA,OX596401.1,100.0,22,0,0,6,27,18650491,18650512,3.6,44.1
top_siRNA,OX596401.1,100.0,18,0,0,25,42,1245619,1245602,871.0,36.2
top_siRNA,OX494459.1,100.0,22,0,0,6,27,2198483,2198504,3.6,44.1
top_siRNA,OX465342.1,100.0,22,0,0,6,27,18579594,18579615,3.6,44.1
top_siRNA,OX465342.1,100.0,18,0,0,25,42,1138582,1138565,871.0,36.2
top_siRNA,OZ452842.1,93.333,30,2,0,8,37,26828389,26828418,3.6,44.1
top_siRNA,EF444973.1,100.0,22,0,0,15,36,107611,107632,3.6,44.1
top_siRNA,AL359697.23,100.0,22,0,0,15,36,124550,124571,3.6,44.1
top_siRNA,OZ364657.1,100.0,21,0,0,17,37,9702213,9702193,14.0,42.1
top_siRNA,OZ336046.1,96.0,25,1,0,4,28,40714410,40714386,14.0,42.1
top_siRNA,OZ336046.1,100.0,18,0,0,10,27,2921727,2921710,871.0,36.2
top_siRNA,OZ336018.1,96.0,25,1,0,4,28,40612757,40612733,14.0,42.1
top_siRNA,OZ336018.1,100.0,18,0,0,10,27,2824822,2824805,871.0,36.2
top_siRNA,OZ319701.1,100.0,21,0,0,5,25,40627013,40626993,14.0,42.1
top_siRNA,XM_033193204.1,100.0,21,0,0,1,21,1104,1084,14.0,42.1
top_siRNA,XM_033193204.1,100.0,21,0,0,22,42,1086,1106,14.0,42.1
top_siRNA,OZ306294.1,100.0,21,0,0,9,29,76365661,76365641,14.0,42.1
top_siRNA,XM_075998795.1,100.0,21,0,0,7,27,5217,5197,14.0,42.1
top_siRNA,XM_032287011.1,100.0,21,0,0,1,21,1736,1716,14.0,42.1
top_siRNA,XM_032287011.1,100.0,19,0,0,22,40,1718,1736,220.0,38.2
top_siRNA,OZ292472.1,96.0,25,1,0,6,30,10210624,10210600,14.0,42.1
top_siRNA,OZ291593.1,100.0,21,0,0,7,27,19152691,19152671,14.0,42.1
top_siRNA,OZ289216.1,100.0,21,0,0,7,27,19581976,19581956,14.0,42.1
top_siRNA,XM_023215966.2,100.0,21,0,0,1,21,408,388,14.0,42.1
top_siRNA,XM_023215966.2,100.0,21,0,0,22,42,390,410,14.0,42.1
top_siRNA,XM_031936042.1,100.0,21,0,0,1,21,471,451,14.0,42.1
top_siRNA,XM_031936042.1,100.0,21,0,0,22,42,453,473,14.0,42.1
top_siRNA,XM_023215964.2,100.0,21,0,0,1,21,600,580,14.0,42.1
top_siRNA,XM_023215964.2,100.0,21,0,0,22,42,582,602,14.0,42.1
top_siRNA,OZ281072.1,100.0,21,0,0,1,21,15860338,15860318,14.0,42.1
top_siRNA,OZ281072.1,100.0,20,0,0,22,41,15860320,15860339,56.0,40.1
top_siRNA,OZ281072.1,100.0,19,0,0,2,20,17018425,17018443,220.0,38.2
top_siRNA,OZ281072.1,100.0,18,0,0,22,39,17018442,17018425,871.0,36.2
top_siRNA,OZ281385.1,100.0,21,0,0,17,37,49699099,49699079,14.0,42.1
top_siRNA,OZ281385.1,92.308,26,2,0,8,33,44862370,44862395,871.0,36.2
top_siRNA,OZ277997.1,100.0,21,0,0,16,36,27048754,27048734,14.0,42.1
top_siRNA,XM_010379716.2,100.0,21,0,0,1,21,602,582,14.0,42.1
top_siRNA,XM_010379716.2,100.0,21,0,0,22,42,584,604,14.0,42.1
top_siRNA,XM_030823089.1,100.0,21,0,0,1,21,355,335,14.0,42.1
top_siRNA,XM_030823089.1,100.0,21,0,0,22,42,337,357,14.0,42.1
top_siRNA,XM_012510219.2,100.0,21,0,0,1,21,471,451,14.0,42.1
top_siRNA,XM_012510219.2,100.0,21,0,0,22,42,453,473,14.0,42.1
top_siRNA,XM_003252642.3,100.0,21,0,0,1,21,561,541,14.0,42.1
top_siRNA,XM_003252642.3,100.0,21,0,0,22,42,543,563,14.0,42.1
top_siRNA,OZ253767.1,100.0,21,0,0,7,27,28256528,28256508,14.0,42.1
top_siRNA,OZ253776.1,100.0,21,0,0,12,32,2503767,2503747,14.0,42.1
top_siRNA,CP126392.1,100.0,21,0,0,21,41,1788920,1788900,14.0,42.1
top_siRNA,CP126392.1,100.0,19,0,0,1,19,1788901,1788919,220.0,38.2
top_siRNA,OZ252590.1,100.0,21,0,0,1,21,71711955,71711935,14.0,42.1
top_siRNA,OZ252590.1,100.0,19,0,0,22,40,71711937,71711955,220.0,38.2
top_siRNA,OZ252529.1,100.0,21,0,0,13,33,29398710,29398690,14.0,42.1
top_siRNA,OZ251589.1,100.0,21,0,0,14,34,15679174,15679154,14.0,42.1
top_siRNA,OZ251073.1,100.0,21,0,0,7,27,29358542,29358522,14.0,42.1
top_siRNA,XM_038004735.2,100.0,21,0,0,1,21,378,358,14.0,42.1
top_siRNA,XM_038004735.2,100.0,21,0,0,22,42,360,380,14.0,42.1
top_siRNA,XM_007981902.3,100.0,21,0,0,1,21,631,611,14.0,42.1
top_siRNA,XM_007981902.3,100.0,21,0,0,22,42,613,633,14.0,42.1
top_siRNA,OX465308.2,100.0,21,0,0,7,27,81760222,81760202,14.0,42.1
top_siRNA,OZ248558.1,100.0,21,0,0,7,27,35116711,35116691,14.0,42.1
top_siRNA,OZ247525.1,100.0,21,0,0,18,38,39485532,39485512,14.0,42.1
top_siRNA,XM_072626734.1,100.0,21,0,0,6,26,412,392,14.0,42.1
top_siRNA,OX596107.2,100.0,21,0,0,7,27,18219604,18219584,14.0,42.1
top_siRNA,OZ239467.1,100.0,21,0,0,14,34,17924326,17924306,14.0,42.1
top_siRNA,OZ239177.1,93.103,29,2,0,8,36,5299757,5299729,14.0,42.1
top_siRNA,OZ237717.1,100.0,21,0,0,15,35,59239529,59239509,14.0,42.1
top_siRNA,OZ237717.1,100.0,18,0,0,20,37,61662286,61662303,871.0,36.2
top_siRNA,OZ231992.1,100.0,21,0,0,5,25,6777500,6777480,14.0,42.1
top_siRNA,NM_001371096.1,100.0,21,0,0,1,21,477,457,14.0,42.1
top_siRNA,NM_001371096.1,100.0,21,0,0,22,42,459,479,14.0,42.1
top_siRNA,OZ222686.1,100.0,21,0,0,4,24,42761654,42761634,14.0,42.1
top_siRNA,OZ222685.1,100.0,21,0,0,4,24,43333038,43333018,14.0,42.1
top_siRNA,XM_011731149.2,100.0,21,0,0,1,21,1081,1061,14.0,42.1
top_siRNA,XM_011731149.2,100.0,21,0,0,22,42,1063,1083,14.0,42.1
top_siRNA,XM_011731148.3,100.0,21,0,0,1,21,1051,1031,14.0,42.1
top_siRNA,XM_011731148.3,100.0,21,0,0,22,42,1033,1053,14.0,42.1
top_siRNA,XM_011731147.3,100.0,21,0,0,1,21,1089,1069,14.0,42.1
top_siRNA,XM_011731147.3,100.0,21,0,0,22,42,1071,1091,14.0,42.1
top_siRNA,OZ221618.1,100.0,21,0,0,18,38,21105963,21105943,14.0,42.1
top_siRNA,OZ220600.1,100.0,21,0,0,6,26,29155085,29155065,14.0,42.1
top_siRNA,NM_001318095.2,100.0,21,0,0,1,21,355,335,14.0,42.1
top_siRNA,NM_001318095.2,100.0,21,0,0,22,42,337,357,14.0,42.1
top_siRNA,CP126418.1,100.0,21,0,0,21,41,1868030,1868010,14.0,42.1
top_siRNA,CP126418.1,100.0,19,0,0,1,19,1868011,1868029,220.0,38.2
top_siRNA,CP126403.1,100.0,21,0,0,21,41,1800541,1800521,14.0,42.1
top_siRNA,CP126403.1,100.0,19,0,0,1,19,1800522,1800540,220.0,38.2
top_siRNA,OZ211689.1,96.0,25,1,0,12,36,8099799,8099775,14.0,42.1
top_siRNA,OZ211689.1,100.0,21,0,0,3,23,26598095,26598075,14.0,42.1
top_siRNA,OZ211689.1,100.0,18,0,0,23,40,29865063,29865046,871.0,36.2
top_siRNA,OZ211689.1,100.0,18,0,0,1,18,29888772,29888755,871.0,36.2
top_siRNA,OZ211689.1,100.0,18,0,0,1,18,29865046,29865063,871.0,36.2
top_siRNA,OZ211689.1,100.0,18,0,0,23,40,29888755,29888772,871.0,36.2
top_siRNA,OZ207200.1,100.0,21,0,0,16,36,10033631,10033611,14.0,42.1
top_siRNA,LR131965.1,100.0,21,0,0,5,25,20663693,20663673,14.0,42.1
top_siRNA,LR131965.1,100.0,18,0,0,20,37,7373110,7373093,871.0,36.2
top_siRNA,NM_000600.5,100.0,21,0,0,1,21,546,526,14.0,42.1
top_siRNA,NM_000600.5,100.0,21,0,0,22,42,528,548,14.0,42.1
top_siRNA,NM_001173536.3,100.0,21,0,0,1,21,524,504,14.0,42.1
top_siRNA,NM_001173536.3,100.0,21,0,0,22,42,506,526,14.0,42.1
top_siRNA,XM_069071775.1,100.0,21,0,0,6,26,265,245,14.0,42.1
top_siRNA,OZ187083.1,100.0,21,0,0,7,27,24197621,24197601,14.0,42.1
top_siRNA,CP027279.1,100.0,21,0,0,14,34,11167549,11167529,14.0,42.1
top_siRNA,CP027279.1,95.455,22,1,0,17,38,772263,772284,871.0,36.2
top_siRNA,OZ174351.1,100.0,21,0,0,19,39,17195058,17195038,14.0,42.1
top_siRNA,OZ174351.1,100.0,18,0,0,2,19,17195038,17195055,871.0,36.2
top_siRNA,XM_025381051.1,100.0,21,0,0,1,21,413,393,14.0,42.1
top_siRNA,XM_025381051.1,100.0,21,0,0,22,42,395,415,14.0,42.1
top_siRNA,XM_025381050.1,100.0,21,0,0,1,21,465,445,14.0,42.1
top_siRNA,XM_025381050.1,100.0,21,0,0,22,42,447,467,14.0,42.1
top_siRNA,XM_025381049.1,100.0,21,0,0,1,21,604,584,14.0,42.1
top_siRNA,XM_025381049.1,100.0,21,0,0,22,42,586,606,14.0,42.1
top_siRNA,XM_025381048.1,100.0,21,0,0,1,21,702,682,14.0,42.1
top_siRNA,XM_025381048.1,100.0,21,0,0,22,42,684,704,14.0,42.1
top_siRNA,OZ172654.1,100.0,21,0,0,19,39,373212,373192,14.0,42.1
top_siRNA,OZ172654.1,100.0,21,0,0,19,39,427538,427518,14.0,42.1
top_siRNA,OZ172654.1,100.0,21,0,0,19,39,805667,805647,14.0,42.1
top_siRNA,OZ172654.1,100.0,21,0,0,19,39,899597,899577,14.0,42.1
top_siRNA,OZ172654.1,100.0,21,0,0,19,39,5572785,5572765,14.0,42.1
top_siRNA,OZ172654.1,100.0,21,0,0,19,39,658941,658961,14.0,42.1
top_siRNA,OZ172654.1,100.0,18,0,0,2,19,658961,658944,871.0,36.2
top_siRNA,OZ172654.1,100.0,18,0,0,2,19,373192,373209,871.0,36.2
top_siRNA,OZ172654.1,100.0,18,0,0,2,19,427518,427535,871.0,36.2
top_siRNA,OZ172654.1,100.0,18,0,0,2,19,805647,805664,871.0,36.2
top_siRNA,OZ172654.1,100.0,18,0,0,2,19,899577,899594,871.0,36.2
top_siRNA,OZ172654.1,100.0,18,0,0,2,19,5572765,5572782,871.0,36.2
top_siRNA,CP162692.1,100.0,21,0,0,9,29,22468972,22468952,14.0,42.1
top_siRNA,CP162692.1,100.0,18,0,0,6,23,79178636,79178619,871.0,36.2
top_siRNA,CP162692.1,100.0,18,0,0,6,23,16547576,16547593,871.0,36.2
top_siRNA,OZ156449.1,100.0,21,0,0,2,22,12949222,12949202,14.0,42.1
top_siRNA,OZ156449.1,100.0,18,0,0,22,39,12949205,12949222,871.0,36.2
top_siRNA,CP162722.1,100.0,21,0,0,9,29,21595392,21595372,14.0,42.1
top_siRNA,CP162722.1,100.0,18,0,0,6,23,78288309,78288292,871.0,36.2
top_siRNA,CP162722.1,100.0,18,0,0,6,23,15674322,15674339,871.0,36.2
top_siRNA,CP162288.1,100.0,21,0,0,9,29,14542080,14542060,14.0,42.1
top_siRNA,CP162288.1,100.0,18,0,0,6,23,8619155,8619172,871.0,36.2
top_siRNA,CP162352.1,100.0,21,0,0,9,29,15875322,15875302,14.0,42.1
top_siRNA,CP162352.1,100.0,18,0,0,6,23,9959301,9959318,871.0,36.2
top_siRNA,CP155501.1,100.0,21,0,0,9,29,20001218,20001198,14.0,42.1
top_siRNA,CP155501.1,100.0,18,0,0,6,23,76681104,76681087,871.0,36.2
top_siRNA,CP155501.1,100.0,18,0,0,6,23,14077518,14077535,871.0,36.2
top_siRNA,CP162228.1,100.0,21,0,0,9,29,22496774,22496754,14.0,42.1
top_siRNA,CP162228.1,100.0,18,0,0,6,23,79199570,79199553,871.0,36.2
top_siRNA,CP162228.1,100.0,18,0,0,6,23,16574869,16574886,871.0,36.2
top_siRNA,CP162255.1,100.0,21,0,0,9,29,15819111,15819091,14.0,42.1
top_siRNA,CP162255.1,100.0,18,0,0,6,23,9901852,9901869,871.0,36.2
top_siRNA,CP161017.1,100.0,21,0,0,20,40,104007,103987,14.0,42.1
top_siRNA,CP161017.1,100.0,19,0,0,1,19,103987,104005,220.0,38.2
top_siRNA,CP160066.1,100.0,21,0,0,20,40,103545,103525,14.0,42.1
top_siRNA,CP160066.1,100.0,19,0,0,1,19,103525,103543,220.0,38.2
top_siRNA,XM_023215963.1,100.0,21,0,0,1,21,645,625,14.0,42.1
top_siRNA,XM_023215963.1,100.0,21,0,0,22,42,627,647,14.0,42.1
top_siRNA,OY737844.1,96.0,25,1,0,15,39,75252455,75252431,14.0,42.1
top_siRNA,OY737844.1,100.0,18,0,0,2,19,75252431,75252448,871.0,36.2
top_siRNA,OY737843.1,96.0,25,1,0,15,39,63725721,63725697,14.0,42.1
top_siRNA,OY737843.1,100.0,18,0,0,2,19,63725697,63725714,871.0,36.2
top_siRNA,OY737730.1,96.0,25,1,0,15,39,75499003,75498979,14.0,42.1
top_siRNA,OY737730.1,100.0,18,0,0,2,19,75498979,75498996,871.0,36.2
top_siRNA,OY737729.1,96.0,25,1,0,15,39,62991221,62991197,14.0,42.1
top_siRNA,OY737729.1,100.0,18,0,0,2,19,62991197,62991214,871.0,36.2
top_siRNA,OY737768.1,96.0,25,1,0,15,39,75322239,75322215,14.0,42.1
top_siRNA,OY737768.1,100.0,18,0,0,2,19,75322215,75322232,871.0,36.2
top_siRNA,OY737767.1,96.0,25,1,0,15,39,59162921,59162897,14.0,42.1
top_siRNA,OY737767.1,100.0,18,0,0,2,19,59162897,59162914,871.0,36.2
top_siRNA,OY737749.1,96.0,25,1,0,15,39,75494589,75494565,14.0,42.1
top_siRNA,OY737749.1,100.0,18,0,0,2,19,75494565,75494582,871.0,36.2
top_siRNA,OY737748.1,96.0,25,1,0,15,39,62852325,62852301,14.0,42.1
top_siRNA,OY737748.1,100.0,18,0,0,2,19,62852301,62852318,871.0,36.2
top_siRNA,OY737806.1,96.0,25,1,0,15,39,75173099,75173075,14.0,42.1
top_siRNA,OY737806.1,100.0,18,0,0,2,19,75173075,75173092,871.0,36.2
top_siRNA,OY737805.1,96.0,25,1,0,15,39,60601581,60601557,14.0,42.1
top_siRNA,OY737805.1,100.0,18,0,0,2,19,60601557,60601574,871.0,36.2
top_siRNA,OY737825.1,96.0,25,1,0,15,39,74949987,74949963,14.0,42.1
top_siRNA,OY737825.1,100.0,18,0,0,2,19,74949963,74949980,871.0,36.2
top_siRNA,OY737824.1,96.0,25,1,0,15,39,64016734,64016710,14.0,42.1
top_siRNA,OY737824.1,100.0,18,0,0,2,19,64016710,64016727,871.0,36.2
top_siRNA,OY737787.1,96.0,25,1,0,15,39,74952778,74952754,14.0,42.1
top_siRNA,OY737787.1,100.0,18,0,0,2,19,74952754,74952771,871.0,36.2
top_siRNA,OY737786.1,96.0,25,1,0,15,39,62898796,62898772,14.0,42.1
top_siRNA,OY737786.1,100.0,18,0,0,2,19,62898772,62898789,871.0,36.2
top_siRNA,OY737711.1,96.0,25,1,0,15,39,75689581,75689557,14.0,42.1
top_siRNA,OY737711.1,100.0,18,0,0,2,19,75689557,75689574,871.0,36.2
top_siRNA,OY737710.1,96.0,25,1,0,15,39,63046265,63046241,14.0,42.1
top_siRNA,OY737710.1,100.0,18,0,0,2,19,63046241,63046258,871.0,36.2
top_siRNA,OZ077434.1,100.0,21,0,0,7,27,29328836,29328816,14.0,42.1
top_siRNA,OZ037941.1,100.0,21,0,0,4,24,48663572,48663552,14.0,42.1
top_siRNA,XM_064380548.1,100.0,21,0,0,1,21,1455,1435,14.0,42.1
top_siRNA,XM_064380548.1,100.0,19,0,0,22,40,1437,1455,220.0,38.2
top_siRNA,XM_064333757.1,100.0,21,0,0,14,34,4371,4351,14.0,42.1
top_siRNA,XM_064333756.1,100.0,21,0,0,14,34,4630,4610,14.0,42.1
top_siRNA,XM_016945535.3,100.0,21,0,0,1,21,355,335,14.0,42.1
top_siRNA,XM_016945535.3,100.0,21,0,0,22,42,337,357,14.0,42.1
top_siRNA,XM_518992.8,100.0,21,0,0,1,21,588,568,14.0,42.1
top_siRNA,XM_518992.8,100.0,21,0,0,22,42,570,590,14.0,42.1
top_siRNA,XM_063815261.1,100.0,21,0,0,1,21,1031,1011,14.0,42.1
top_siRNA,XM_063815261.1,100.0,21,0,0,22,42,1013,1033,14.0,42.1
top_siRNA,XM_054494873.2,100.0,21,0,0,1,21,2286,2266,14.0,42.1
top_siRNA,XM_054494873.2,100.0,21,0,0,22,42,2268,2288,14.0,42.1
top_siRNA,XM_063726052.1,100.0,21,0,0,1,21,382,362,14.0,42.1
top_siRNA,XM_063726052.1,100.0,21,0,0,22,42,364,384,14.0,42.1
